National_Rank,Team,State,Combined_2025,Margin,Win_Loss,Offense,Defense,Games_Played,Total_Seasons,Previous_Best,Improvement,StateRank,Is_State_Top,Is_Program_Record,Recognition_Type,TeamPageUrl,HasTeamPage,Website_Status,Athletic_Director,AD_Email,Head_Coach,Coach_Email,Athletic_Dept_Email,Main_Phone,Contact_Notes,Email_Sent_Date,Email_Status,Response_Notes
8,Thomasville Thomas County Central (GA),(GA),68.42,81.741,6.092,32.905,3.154,15,66,57.8919,10.5281,2,0,1,Program Record,,False,,,,,,,,,,,
10,Fairburn Creekside (GA),(GA),68.207,82.374,5.843,37.466,0.486,15,35,56.0304,12.1766,3,0,1,Program Record,,False,,,,,,,,,,,
11,Carrollton (GA),(GA),68.204,80.834,6.316,34.531,4.048,15,95,65.7388,2.4652,4,0,1,Program Record,,False,,,,,,,,,,,
13,Aledo (TX),(TX),67.742,82.016,5.812,37.499,-4.844,15,79,67.4665,0.2755,5,0,1,Program Record,,False,,,,,,,,,,,
22,Waxahachie (TX),(TX),63.614,76.098,6.102,31.077,-4.037,13,118,52.2141,11.3999,8,0,1,Program Record,,False,,,,,,,,,,,
28,Rancho Santa Margarita (CA),(CA),62.45,74.752,6.033,22.81,-7.882,14,38,60.8884,1.5616,3,0,1,Program Record,,False,,,,,,,,,,,
29,Prosper (TX),(TX),62.29,74.698,5.867,33.757,-1.977,13,75,57.37,4.92,9,0,1,Program Record,,False,,,,,,,,,,,
46,Houston King (TX),(TX),59.578,72.378,5.107,29.445,-4.344,16,71,54.6415,4.9365,13,0,1,Program Record,,False,,,,,,,,,,,
47,Jacksonville Raines (FL),(FL),59.531,71.804,4.843,27.166,3.81,13,57,50.8723,8.6587,2,0,1,Program Record,,False,,,,,,,,,,,
48,Hyattsville DeMatha Catholic (MD),(MD),59.036,71.096,6.124,26.127,-8.952,11,75,57.318,1.718,3,0,1,Program Record,,False,,,,,,,,,,,
57,Pittsburgh Central Catholic (PA),(PA),57.479,70.025,5.069,29.972,-8.898,15,97,56.9285,0.5505,2,0,1,Program Record,,False,,,,,,,,,,,
60,Valdosta (GA),(GA),57.397,67.52,5.293,25.525,7.96,14,111,54.9554,2.4416,9,0,1,Program Record,,False,,,,,,,,,,,
61,Kaysville Davis (UT),(UT),57.109,68.635,5.41,33.479,-5.89,12,90,47.3414,9.7676,5,0,1,Program Record,,False,,,,,,,,,,,
67,Stephenville (TX),(TX),56.776,68.585,4.857,29.596,-4.488,16,105,52.5337,4.2423,17,0,1,Program Record,,False,,,,,,,,,,,
68,Westfield (IN),(IN),56.526,67.692,4.688,22.054,-4.136,14,73,55.8887,0.6373,3,0,1,Program Record,,False,,,,,,,,,,,
70,Sarasota Cardinal Mooney (FL),(FL),56.512,67.552,4.879,29.518,6.011,15,55,42.5254,13.9866,5,0,1,Program Record,,False,,,,,,,,,,,
75,Avon (OH),(OH),55.962,67.093,5.128,25.497,0.066,15,61,54.2835,1.6785,3,0,1,Program Record,,False,,,,,,,,,,,
92,New Palestine (IN),(IN),53.972,65.128,4.188,26.587,0.928,14,56,51.2805,2.6915,4,0,1,Program Record,,False,,,,,,,,,,,
94,South Florence (SC),(SC),53.825,65.272,4.773,29.194,-5.135,15,50,52.492,1.333,4,0,1,Program Record,,False,,,,,,,,,,,
95,Dickinson (TX),(TX),53.731,65.038,4.519,28.91,-0.848,14,87,52.2564,1.4746,21,0,1,Program Record,,False,,,,,,,,,,,
96,West Charlotte (NC),(NC),53.69,64.821,5.14,28.144,-6.949,13,68,51.9508,1.7392,4,0,1,Program Record,,False,,,,,,,,,,,
97,Cuyahoga Falls Walsh Jesuit (OH),(OH),53.648,65.009,4.839,24.076,-8.63,13,58,48.6379,5.0101,6,0,1,Program Record,,False,,,,,,,,,,,
101,Columbia Irmo (SC),(SC),53.301,63.326,5.302,23.143,4.381,14,66,50.6831,2.6179,5,0,1,Program Record,,False,,,,,,,,,,,
103,Vestavia Hills (AL),(AL),53.232,63.489,5.225,32.642,2.816,11,54,51.5687,1.6633,4,0,1,Program Record,,False,,,,,,,,,,,
110,Alvarado (TX),(TX),52.943,65.162,3.774,36.771,0.413,13,100,50.1331,2.8099,25,0,1,Program Record,,False,,,,,,,,,,,
117,Platte City Platte County (MO),(MO),52.255,62.558,4.478,28.961,4.901,15,56,42.5667,9.6883,3,0,1,Program Record,,False,,,,,,,,,,,
118,Lake Oswego (OR),(OR),52.242,62.759,5.1,27.959,-4.143,13,74,47.6419,4.6001,2,0,1,Program Record,,False,,,,,,,,,,,
126,Gordon (TX),(TX),51.678,64.507,2.501,38.604,-1.785,14,78,51.4166,0.2614,30,0,1,Program Record,,False,,,,,,,,,,,
134,Sumner (WA),(WA),51.212,62.476,4.092,34.006,-3.9,14,91,41.9471,9.2649,3,0,1,Program Record,,False,,,,,,,,,,,
135,Philadelphia Roman Catholic (PA),(PA),51.21,61.06,4.559,23.445,5.966,15,129,43.0564,8.1536,4,0,1,Program Record,,False,,,,,,,,,,,
136,Warner Robins Houston County (GA),(GA),51.176,61.109,4.51,23.579,2.475,12,34,48.6172,2.5588,17,0,1,Program Record,,False,,,,,,,,,,,
137,Douglasville Douglas County (GA),(GA),51.13,61.319,5.164,22.545,-2.422,13,92,50.7115,0.4185,18,0,1,Program Record,,False,,,,,,,,,,,
138,Jersey City St. Peters Prep (NJ),(NJ),51.125,61.897,4.457,24.271,-5.398,8,28,36.4285,14.6965,4,0,1,Program Record,,False,,,,,,,,,,,
139,Chicago Brother Rice (IL),(IL),51.025,61.21,4.673,27.042,1.544,14,67,50.8243,0.2008,3,0,1,Program Record,,False,,,,,,,,,,,
144,Atco Winslow Township (NJ),(NJ),50.845,61.32,4.328,25.776,1.108,14,66,48.9903,1.8547,5,0,1,Program Record,,False,,,,,,,,,,,
150,McMurray Peters Township (PA),(PA),50.425,61.182,4.292,23.617,-6.571,14,69,49.9255,0.4995,6,0,1,Program Record,,False,,,,,,,,,,,
153,Canton Sequoyah (GA),(GA),50.332,60.024,4.3,23.569,4.046,13,35,37.4898,12.8422,20,0,1,Program Record,,False,,,,,,,,,,,
155,Raleigh Millbrook (NC),(NC),50.294,60.468,4.977,29.375,-3.522,13,66,38.0054,12.2886,6,0,1,Program Record,,False,,,,,,,,,,,
156,Kilgore (TX),(TX),50.251,60.778,4.152,25.922,-2.821,16,94,49.9128,0.3382,37,0,1,Program Record,,False,,,,,,,,,,,
158,Raleigh Cardinal Gibbons (NC),(NC),50.132,59.851,4.849,25.67,0.754,13,32,49.1732,0.9588,7,0,1,Program Record,,False,,,,,,,,,,,
163,Nixa (MO),(MO),49.948,59.269,4.386,22.59,6.659,14,43,48.6688,1.2792,4,0,1,Program Record,,False,,,,,,,,,,,
164,Jayton (TX),(TX),49.938,63.103,2.567,37.695,-5.391,15,87,44.6653,5.2727,40,0,1,Program Record,,False,,,,,,,,,,,
168,Columbia Ridge View (SC),(SC),49.515,59.807,4.329,26.566,0.482,12,29,39.4065,10.1085,6,0,1,Program Record,,False,,,,,,,,,,,
169,Forney (TX),(TX),49.47,59.625,4.649,31.057,-0.12,14,108,41.4507,8.0193,44,0,1,Program Record,,False,,,,,,,,,,,
172,Shelby Crest (NC),(NC),49.428,59.981,4.08,28.711,-1.702,14,58,43.3206,6.1074,9,0,1,Program Record,,False,,,,,,,,,,,
173,West Palm Beach Cardinal Newman (FL),(FL),49.401,59.291,3.68,23.052,-2.293,15,56,47.3218,2.0792,10,0,1,Program Record,,False,,,,,,,,,,,
175,Terrell (TX),(TX),49.348,59.909,4.028,36.751,0.445,13,113,41.5033,7.8447,46,0,1,Program Record,,False,,,,,,,,,,,
184,DeLand (FL),(FL),48.953,58.802,4.024,29.528,3.539,13,69,47.5817,1.3713,11,0,1,Program Record,,False,,,,,,,,,,,
195,Franklin Battle Ground Academy (TN),(TN),48.491,59.423,4.193,34.063,-3.135,13,104,39.9579,8.5331,4,0,1,Program Record,,False,,,,,,,,,,,
203,Clayton (NC),(NC),48.066,57.602,4.807,28.686,0.429,14,66,37.8131,10.2529,10,0,1,Program Record,,False,,,,,,,,,,,
209,Orchard Lake St. Marys Prep (MI),(MI),47.919,57.957,3.881,22.771,-4.904,18,69,46.3881,1.5309,2,0,1,Program Record,,False,,,,,,,,,,,
212,Magnolia (TX),(TX),47.867,57.481,3.927,23.81,1.892,11,79,45.2126,2.6544,52,0,1,Program Record,,False,,,,,,,,,,,
213,Monticello (MN),(MN),47.784,57.399,3.095,17.019,2.847,10,62,35.7276,12.0564,2,0,1,Program Record,,False,,,,,,,,,,,
219,Jefferson Jackson County (GA),(GA),47.504,57.035,3.85,22.744,5.864,13,45,22.5071,24.9969,27,0,1,Program Record,,False,,,,,,,,,,,
221,San Francisco Archbishop Riordan (CA),(CA),47.426,57.064,4.639,28.999,0.38,13,74,33.9231,13.5029,13,0,1,Program Record,,False,,,,,,,,,,,
223,Clarkston (MI),(MI),47.375,55.916,4.226,17.055,5.551,13,77,46.822,0.553,3,0,1,Program Record,,False,,,,,,,,,,,
229,Medina Highland (OH),(OH),47.14,56.98,3.253,21.068,4.026,13,69,43.6298,3.5102,12,0,1,Program Record,,False,,,,,,,,,,,
231,Clovis (CA),(CA),47.066,56.45,4.444,24.707,0.497,11,86,40.8754,6.1906,14,0,1,Program Record,,False,,,,,,,,,,,
239,DeWitt (MI),(MI),46.722,56.048,3.712,27.567,7.81,14,77,44.8557,1.8663,4,0,1,Program Record,,False,,,,,,,,,,,
242,Haxtun (CO),(CO),46.647,56.534,4.139,25.934,2.736,13,55,45.2064,1.4406,3,0,1,Program Record,,False,,,,,,,,,,,
243,Sunbury Big Walnut (OH),(OH),46.639,56.471,3.443,22.372,4.072,14,71,37.2474,9.3916,14,0,1,Program Record,,False,,,,,,,,,,,
246,Algona Bishop Garrigan (IA),(IA),46.58,57.597,3.411,34.208,-2.24,13,56,30.0487,16.5313,2,0,1,Program Record,,False,,,,,,,,,,,
249,Carlsbad La Costa Canyon (CA),(CA),46.374,55.667,5.067,30.656,0.47,11,30,40.3962,5.9778,15,0,1,Program Record,,False,,,,,,,,,,,
251,Wadsworth (OH),(OH),46.247,55.879,3.802,23.448,4.065,12,110,40.1397,6.1073,15,0,1,Program Record,,False,,,,,,,,,,,
255,Covington Newton (GA),(GA),46.022,55.507,3.985,24.095,1.344,12,76,43.2723,2.7497,30,0,1,Program Record,,False,,,,,,,,,,,
257,Carrollton Central (GA),(GA),45.893,54.593,4.043,26.171,11.453,13,65,35.8396,10.0534,31,0,1,Program Record,,False,,,,,,,,,,,
262,Indianapolis Decatur Central (IN),(IN),45.806,55.33,3.17,22.509,3.637,12,74,45.5383,0.2677,8,0,1,Program Record,,False,,,,,,,,,,,
263,Marshall (MN),(MN),45.789,55.446,2.543,12.341,3.903,12,64,41.1089,4.6801,4,0,1,Program Record,,False,,,,,,,,,,,
264,East Kentwood (MI),(MI),45.777,54.773,4.475,26.212,3.526,13,65,43.7157,2.0613,5,0,1,Program Record,,False,,,,,,,,,,,
271,Rogers (AR),(AR),45.584,55.334,3.687,28.835,3.28,12,84,38.9956,6.5884,3,0,1,Program Record,,False,,,,,,,,,,,
272,Orlando The First Academy (FL),(FL),45.581,55.426,4.124,26.778,-8.296,9,32,38.3636,7.2174,17,0,1,Program Record,,False,,,,,,,,,,,
285,Summerville (SC),(SC),45.32,54.254,3.938,26.728,4.588,15,76,43.9241,1.3959,8,0,1,Program Record,,False,,,,,,,,,,,
288,Frederick Linganore (MD),(MD),45.254,55.689,3.6,27.018,0.23,13,49,38.3181,6.9359,4,0,1,Program Record,,False,,,,,,,,,,,
289,Tampa Gaither (FL),(FL),45.239,55.204,2.955,25.393,3.694,12,41,44.2624,0.9766,20,0,1,Program Record,,False,,,,,,,,,,,
290,Green Bay Bay Port (WI),(WI),45.167,55.085,3.401,27.159,0.096,14,58,39.6121,5.5549,3,0,1,Program Record,,False,,,,,,,,,,,
292,Liberty Center (OH),(OH),45.127,54.462,2.97,22.978,7.386,15,89,42.9706,2.1564,17,0,1,Program Record,,False,,,,,,,,,,,
303,Charleston James Island (SC),(SC),44.683,53.594,3.932,25.501,3.866,14,68,36.4175,8.2655,10,0,1,Program Record,,False,,,,,,,,,,,
307,Maize (KS),(KS),44.593,54.721,3.865,30.634,0.642,10,89,39.936,4.657,3,0,1,Program Record,,False,,,,,,,,,,,
310,Boise Timberline (ID),(ID),44.481,52.799,4.134,17.094,-2.548,12,50,26.6755,17.8055,4,0,1,Program Record,,False,,,,,,,,,,,
